name,before
Send Kickoff Memo (with PQ),0
Request Tenant Contact List with Square Footages,0
Request 1 Month of Utility Bills from Tenant,0
Receive and import PLQ and PBQ responses. (0tblIPA),1
Receive Tenant Contact List with Square Footages,2
Receive 1 Month of Utility Bills from Tenant,3
Send Pre-inspection kickoff memo to tenants what to expect from Energy Audit Memo to Tenants,5
Schedule Audit Inspection,"1,2,3,4,5,6"
Schedule HVAC contractor on day of inspection. ,"1,2,3,4,5,6"
Review PQ Before Inspection,"1,2,3,4,5,6"
Prep list of building questions for walkthrough kickoff,"1,2,3,4,5,6"
Prep list of questions for HVAC contractor. ,"1,2,3,4,5,6"
Energy Audit Walkthrough,"1,2,3,4,5,6,7,8,9,10,11,12"
HVAC Contractor Walkthrough,"1,2,3,4,5,6,7,8,9,10,11,12"
Scan Energy Audit Notes - Upload to Gdrive,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
List of EEM Ideas from Walkthrough,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Download Pictures,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Group Pictures by Occupant,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Benchmarking Bill Analysis / Aggregation - (w/ benchmarking only),"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Follow-Up Questions Memo,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Add to 1tblProject,1
Verify/Add to tlkUtilityRates,"1,3,6"
Add to 2tblOccupants,"1,2,5"
Add to tlkSchBase ,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Add to tlkSchProp,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Add to tlkFinancials,"1,4"
Create EID excel sheet Start inputting data from template,1
Type in Space Descriptions,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Assign EIDqtyBase,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Assign EIDqtyProp,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Assign tlkFinances,"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign tlkLightCodes (Add if necessary),"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign schBaseID Codes,"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign schPropID Codes,"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Enter EIDyrsInstalled (See PBQ or audit notes),"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign lightSpaceTypeID (from tlkOccSensorSavings),"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign EEMs to 3tblEID (Add if necessary),"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Assign tlkIncentives (Add if neccessary),"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
Lighting Occupancy Sensor Projects,"1,2,3,4,5,6,7,8,9,10,11,12,13,28"
